transaction_id,product_name,category,quantity,unit_price,timestamp
TX001,Wireless Mouse,Electronics,2,25.99,2024-12-01 14:32:00
TX002,Gaming Keyboard,Electronics,1,79.99,2024-12-01 15:12:00
TX003,Office Chair,Furniture,1,150.00,2024-12-02 10:45:00
TX004,Desk Lamp,Furniture,3,22.50,2024-12-03 13:17:00
TX005,Notebook Stationery,Stationery,10,1.99,2024-12-03 09:00:00
TX006,Bluetooth Speaker,Electronics,2,45.00,2024-12-04 16:00:00
TX007,Notebook Stationery,Stationery,20,1.99,2024-12-05 11:30:00
TX008,Office Chair,Furniture,1,150.00,2024-12-05 17:45:00
TX009,Gaming Keyboard,Electronics,2,79.99,2024-12-06 12:00:00
TX010,Wireless Mouse,Electronics,1,25.99,2024-12-06 09:30:00
